[2026-07-17 10:13:52.631276] Table: 2, Phone: '0396199978', Note: ''
[2026-07-17 10:14:35.300544] Table: 2, Phone: '', Note: ''
[2026-07-17 10:15:01.142419] Table: 2, Phone: '', Note: ''
[2026-07-17 10:15:34.575508] Table: 2, Phone: '', Note: ''
[2026-07-17 10:19:24.987849] Table: 2, Phone: '0396199978', Note: ''
[2026-07-17 10:27:50.695772] Table: 2, Phone: '0396199978', Note: ''
[2026-07-17 10:27:54.711010] Table: 2, Phone: '0396199978', Note: ''
[2026-07-17 10:27:58.952389] Table: 2, Phone: '0396199978', Note: ''
[2026-07-17 10:28:03.914557] Table: 2, Phone: '0396199978', Note: ''
[2026-07-17 10:28:13.207071] Table: 2, Phone: '0396199978', Note: ''
[2026-07-17 10:44:19.936535] Table: 3, Phone: '0396123456', Note: 'Chín ko'
[2026-07-17 10:59:09.379013] Table: 3, Phone: '0396123456', Note: ''
[2026-07-17 11:02:07.366874] Table: 3, Phone: '0812345678', Note: ''
[2026-07-17 11:32:27.822948] Table: 4, Phone: '0396123456', Note: ''
[2026-07-17 11:33:18.803715] Table: 4, Phone: '0396123456', Note: ''
[2026-07-17 11:37:43.043378] Table: 4, Phone: '0396199978', Note: ''
[2026-07-17 11:41:47.188413] Table: 4, Phone: '0396199978', Note: ''
[2026-07-17 11:47:37.253170] Table: 4, Phone: '0396132564', Note: ''
[2026-07-17 11:48:35.335280] Table: 4, Phone: '0396132564', Note: ''
[2026-07-17 13:19:36.243951] Table: 2, Phone: '0372582528', Note: ''
[2026-07-17 13:20:52.390346] Table: 2, Phone: '0372582528', Note: ''
[2026-07-17 13:27:37.916656] Table: 1, Phone: '0396199978', Note: ''
[2026-07-17 13:38:56.063523] Table: 4, Phone: '0396123456', Note: ''
[2026-07-17 13:40:28.575573] Table: 4, Phone: '0386386775', Note: ''
[2026-07-17 13:47:01.522535] Table: 4, Phone: '0396199978', Note: ''
[2026-07-17 13:47:49.375392] Table: 4, Phone: '0369789456', Note: ''
[2026-07-17 13:50:47.224316] Table: 4, Phone: '0396199975', Note: ''
[2026-07-17 14:02:01.760842] Table: 4, Phone: '0396199975', Note: ''
[2026-07-17 14:05:04.511681] Table: 4, Phone: '0396199975', Note: ''
[2026-07-17 14:27:45.396564] Table: 4, Phone: '0396199975', Note: ''
[2026-07-17 14:27:57.022045] Table: 4, Phone: '0396199975', Note: ''
[2026-07-17 14:28:25.690949] Table: 4, Phone: '0396199975', Note: ''
[2026-07-17 14:34:15.373165] Table: 4, Phone: '0396123456', Note: ''
[2026-07-17 14:34:38.202753] Table: 4, Phone: '0396123456', Note: ''
[2026-07-17 15:59:48.475458] Table: 4, Phone: '0396199975', Note: ''
[2026-07-17 16:03:59.709198] Table: 4, Phone: '0396199975', Note: ''
[2026-07-17 16:11:06.630219] Table: 2, Phone: '0386386775', Note: ''
[2026-07-17 16:11:25.963814] Table: 2, Phone: '0386386775', Note: ''
